Embedding,Model,Accuracy,Precision,Recall,F1-Score,Training Time (s)
BoW,logistic_regression,0.855,0.8505089605734767,0.855,0.8514429587288626,0.12711381912231445
BoW,random_forest,0.915,0.9177225672877847,0.915,0.9107165973185389,0.6740963459014893
TF-IDF,logistic_regression,0.865,0.8738818310143174,0.865,0.8507001044932079,0.026695966720581055
TF-IDF,random_forest,0.925,0.925299955562139,0.925,0.9225539257981018,0.839073896408081
One-Hot,logistic_regression,0.92,0.9194405594405595,0.92,0.9177192982456142,0.029967546463012695
One-Hot,random_forest,0.925,0.9268139285166437,0.925,0.9219081643375013,0.4723701477050781
W2V_CBOW,logistic_regression,0.92,0.9205424954792043,0.92,0.9170518703935474,0.020600557327270508
W2V_CBOW,random_forest,0.92,0.9194405594405595,0.92,0.9177192982456142,0.6047720909118652
W2V_SG,logistic_regression,0.925,0.9289855072463767,0.925,0.9212205270457698,0.018331050872802734
W2V_SG,random_forest,0.92,0.9246393762183237,0.92,0.915584229390681,0.6290895938873291
FastText,logistic_regression,0.905,0.9064596273291926,0.905,0.9002126675913082,0.018492698669433594
FastText,random_forest,0.91,0.911125,0.91,0.9058836815358555,0.6139543056488037
Doc2Vec_DM,logistic_regression,0.85,0.8456639566395664,0.85,0.8402097902097903,0.022985458374023438
Doc2Vec_DM,random_forest,0.88,0.8912156862745099,0.88,0.8680533824206167,0.5133078098297119
Doc2Vec_DBOW,logistic_regression,0.895,0.8928688638575997,0.895,0.8932205778717406,0.015958786010742188
Doc2Vec_DBOW,random_forest,0.77,0.8245360824742268,0.77,0.6942609397055858,0.6420769691467285
